Date,Holiday
2012-02-20,1
2013-02-11,1
2014-03-03,1
2015-02-16,1
2016-02-08,1
2017-02-27,1
2018-02-12,1
2019-03-04,1
2012-12-31,1
2013-12-31,1
2014-12-31,1
2015-12-31,1
2016-12-31,1
2017-12-31,1
2018-12-31,1
2019-12-31,1
2012-10-03,1
2013-10-03,1
2014-10-03,1
2015-10-03,1
2016-10-03,1
2017-10-03,1
2018-10-03,1
2019-10-03,1
2012-11-25,1
2013-11-24,1
2014-11-23,1
2015-11-22,1
2016-11-20,1
2017-11-26,1
2018-11-25,1
2019-11-24,1
2012-02-14,1
2013-02-14,1
2014-02-14,1
2015-02-14,1
2016-02-14,1
2017-02-14,1
2018-02-14,1
2019-02-14,1
2012-12-23,1
2013-12-22,1
2014-12-21,1
2015-12-20,1
2016-12-18,1
2017-12-24,1
2018-12-23,1
2019-12-22,1
2012-11-18,1
2013-11-17,1
2014-11-16,1
2015-11-15,1
2016-11-13,1
2017-11-19,1
2018-11-18,1
2019-11-17,1
2012-02-16,1
2013-02-07,1
2014-02-27,1
2015-02-12,1
2016-02-04,1
2017-02-23,1
2018-02-08,1
2019-02-28,1
2012-12-09,1
2013-12-08,1
2014-12-07,1
2015-12-06,1
2016-12-04,1
2017-12-10,1
2018-12-09,1
2019-12-08,1
2012-12-26,1
2013-12-26,1
2014-12-26,1
2015-12-26,1
2016-12-26,1
2017-12-26,1
2018-12-26,1
2019-12-26,1
